Crocus tomasinianus
Croton alabamensis
Crowea angustifolia v. dentata
Crowea angustifolia
Cruckshanksia glacialis
Cruckshanksia hymenodon
Cryptantha paradoxa 
Cryptantha paradoxa
Cryptantha thompsonii
Cryptotaenia japonica atropurpurea 
Cucumis melo
Cucurbita maxima
Cucurbita melo
Cucurbita mixta
Cucurbita pepo
Cucurbita sativus
Cumarinia odorata
Cuminium cyminum
Cunninghamia lanceolata
Cuphea ignea
Cuphea llavea
Cuphea petiolata
Cupressus lusitanica
Cupressus macrocarpa
Cuscuta sp.
Cyananthus lobatus
Cyananthus sp.
Cyathodes empetrifolia
Cyathodes robusta
Cyclamen neapolitanum
Cyclamen persicum
Cymbalaria muralis
Cymopteris aboriginism
Cymopteris sp.
Cymopteris terebinthinus
Cynanchum acutum
Cynoglossum amabile
Cynoglossum grande
Cypella amosa
Cypella coelestis
Cyperus alternifolium
Cyperus papyrus
Cyphomandia betacea
Cypripedium acaule
Cypripedium andrewsii
Cypripedium calceolus
Cypripedium candidum
Cypripedium reginae
Cyrtanthus parviflorus
Cythomandra betacea 
Cythomandra betacea
Cytisus scoparius
Daboecia cantabrica
Dahlia (dwarf hybrids)
Dalea sp.
Daphne caucasicum
Daphne cneorum
Daphne genkwa
Daphne giraldi
Daphne mezereum alba
Daphne mezereum
Daphne oleoides
Darlingtonia californica
Darwinia citriodora
Datura innoxia
Datura metaloides
Datura sanguinea
Datura sp.
Datura stramonium
Datura suaveolens
Datura tatula
Daubenya aurea
Daucus carota v. sativus
Daucus carota
Davidia involucrata
Decaisnea fargesii
Degenia velebitica
Deinanthe bifida
Delonix regia
Delosperma cooperi
Delphinium belladonna
Delphinium bicolor
Delphinium cashmerianum
Delphinium consolida
Delphinium elatum
Delphinium exaltatum
Delphinium geraniifolium
Delphinium geyeri
Delphinium glaucum
Delphinium grandiflorum
Delphinium lipskyi
Delphinium oreophilum
Delphinium oxysepalum
Delphinium tatsiense
Delphinium tennuisectum
Delphinium tricorne
Delphinium virescens
Delphinium xantholeucum
Dendranthema arctica
Dendrocalamus asper
Dendrocalamus membranaceous
Dendrocalamus strictus
Dendromecon rigida
Denmoza rhodacantha
Dentaria hexaphylla
Dentaria lacinata
Dentaria laciniata
Dentaria pentaphylla
Desfontainea spinosa
Desmanthus illinoensis
Desmodium canadense
Deutzia staminea
Dianella intermedia
Dianthus alpinus
Dianthus armeria
Dianthus barbatus
Dianthus broteri
Dianthus carthusianorum
Dianthus caryophyllus
Dianthus chinensis
Dianthus crinitus
Dianthus darwasica
Dianthus erinaceus
Dianthus fragrans
Dianthus frigidus
Dianthus glacialis
Dianthus gratianopolitanus
Dianthus haematocalyx
Dianthus knappii
Dianthus leptopetalus
Dianthus myrtinervis
Dianthus neglectus
Dianthus pancici
Dianthus repens
Dianthus sequieri
Dianthus spiculifolius
Dianthus superbus alba
Diascia barberae
Dicentra citrina
Dicentra cucullaria
Dicentra eximia
Dicentra scandens
Dicentra spectabilis
Dicentra uniflora
Dichelostemma capitatum
Dichelostemma ida-maia
Dichelostemma multiflorum 
Dichelostemma multiflorum
Dicranostigma franchetianum
Dictamnus alba
Dictyolimon macrorrhabdos
Dierama pulcherrima
Dietes grandiflora 
Dietes grandiflora
Dietes indioides 
Digitalis grandiflora
Digitalis lutea 
Digitalis purpurea
Digitalis viridiflora 
Dimorphotheca aurantiaca 
Dimorphotheca aurantiaca
Dionea muscipula
Dionysia involucrata
Dioscorea battatus
Dioscorea quaternata
Dioscorea villosa
Diospyros rhomboidalis
Diospyros texana
Diospyros virginiana
Dipcadi fulvum
Dipcadi serotinum 
Dipcadi serotinum
Dipcadi viride
Diphylleia cymosa
Diplacus bifidus
Diplarrhena latifolia 
Diplarrhena moraea
Dipsacus fullonum
Dipsacus pilosus
Dipsacus strigosus
Dipsacus sylvestris
Dirca palustris
Discaria toumatou
Disocactus alteolens
Disocactus boomianus
Disocactus crystallophilus
Disocactus pugionacanthus
Disporum hookerianum v. trachyandrum
Disporum lanuginosum
Dodecatheon alpinum
Dodecatheon amethystinum
Dodecatheon jeffreyi
Dodecatheon media
Dodecatheon pulchellum 
Dodecatheon pulchellum
Dodonea viscosa 
Doligloglottis schorzeneroides
Doronicum caucasicum
Doronicum columnae
Doronicum orientale
Dorotheanthus bellidiformis
Dorotheanthus rourkei
Dorycnium rectum
Douglasia laeviagata
Douglasia nivalis
Draba acaulis
Draba aizoon
Draba argyrea
Draba brunifolia
Draba compacta
Draba cretica
Draba dedeana
Draba densifolia
Draba hoppeana
Draba incerta
Draba lasiocarpa
Draba lemmonii
Draba parnassica
Draba polytricha
Draba sartori
Draba ventosa
Dracocephalum renati
Dracocephalum tanguticum
Dracophyllum uniflorum
Dracunculus canariensis
Dracunculus vulgaris
Draperia systyla
