"n","f","taxon"
5239,"Asphodelaceae","MUSCARI spreitzenhoferi"
2473,"Asphodelaceae","MUSCARI spreitzenhoferi"
2474,"Asphodelaceae","MUSCARI turcicum"
2481,"Amaryllidaceae","NARCISSUS 'Callisto'"
2482,"Amaryllidaceae","NARCISSUS 'Columba'"
2483,"Amaryllidaceae","NARCISSUS 'Craigton Clumper'"
2484,"Amaryllidaceae","NARCISSUS 'Cyllene'"
2485,"Amaryllidaceae","NARCISSUS 'Elara'"
2486,"Amaryllidaceae","NARCISSUS 'Helene'"
2487,"Amaryllidaceae","NARCISSUS 'Mary Poppins'"
2488,"Amaryllidaceae","NARCISSUS 'Solveig's Song'"
2489,"Amaryllidaceae","NARCISSUS 'Tethys'"
2490,"Amaryllidaceae","NARCISSUS abscissus"
2491,"Amaryllidaceae","NARCISSUS assoanus"
2492,"Amaryllidaceae","NARCISSUS assoanus subsp. assoanus"
2493,"Amaryllidaceae","NARCISSUS asturiensis"
2494,"Amaryllidaceae","NARCISSUS bicolor"
2495,"Amaryllidaceae","NARCISSUS blancoi"
2496,"Amaryllidaceae","NARCISSUS bulbocodium"
2499,"Amaryllidaceae","NARCISSUS bulbocodium 'Glenbrook Hybrids'"
2498,"Amaryllidaceae","NARCISSUS bulbocodium JJA805"
2500,"Amaryllidaceae","NARCISSUS bulbocodium f. viriditubis"
2497,"Amaryllidaceae","NARCISSUS bulbocodium hybrids"
2501,"Amaryllidaceae","NARCISSUS bulbocodium subsp. bulbocodium"
2503,"Amaryllidaceae","NARCISSUS bulbocodium subsp. citrinus"
2502,"Amaryllidaceae","NARCISSUS bulbocodium subsp. citrinus"
2504,"Amaryllidaceae","NARCISSUS bulbocodium subsp. conspicuus"
2505,"Amaryllidaceae","NARCISSUS bulbocodium subsp. filifolius"
2506,"Amaryllidaceae","NARCISSUS bulbocodium subsp. graellsii"
2507,"Amaryllidaceae","NARCISSUS bulbocodium subsp. nivalis"
2508,"Amaryllidaceae","NARCISSUS bulbocodium subsp. validus"
2509,"Amaryllidaceae","NARCISSUS cantabricus"
2510,"Amaryllidaceae","NARCISSUS cantabricus mixed"
2514,"Amaryllidaceae","NARCISSUS cantabricus petunioides 2762-1 x Atlas Gold"
2515,"Amaryllidaceae","NARCISSUS cantabricus petunioides Х romieuxii albidus SF110"
2511,"Amaryllidaceae","NARCISSUS cantabricus subsp. cantabricus"
2512,"Amaryllidaceae","NARCISSUS cantabricus subsp. monophyllus"
2513,"Amaryllidaceae","NARCISSUS cantabricus subsp. petunioides"
2516,"Amaryllidaceae","NARCISSUS cavanillesii"
2517,"Amaryllidaceae","NARCISSUS cerrolazae F&JK1104"
2518,"Amaryllidaceae","NARCISSUS confusus"
2519,"Amaryllidaceae","NARCISSUS cordubensis"
2520,"Amaryllidaceae","NARCISSUS cyclamineus"
2521,"Amaryllidaceae","NARCISSUS deficiens"
2522,"Amaryllidaceae","NARCISSUS dubius"
2523,"Amaryllidaceae","NARCISSUS eugeniae"
2524,"Amaryllidaceae","NARCISSUS fernandesii"
2525,"Amaryllidaceae","NARCISSUS gigas"
2526,"Amaryllidaceae","NARCISSUS hedraeanthus"
2527,"Amaryllidaceae","NARCISSUS hedraeanthus subsp. luteolentus"
2528,"Amaryllidaceae","NARCISSUS iohannis"
2529,"Amaryllidaceae","NARCISSUS jacetanus"
2530,"Amaryllidaceae","NARCISSUS jonquilla"
2531,"Amaryllidaceae","NARCISSUS lobularis"
2532,"Amaryllidaceae","NARCISSUS longispathus"
2533,"Amaryllidaceae","NARCISSUS minor"
2534,"Amaryllidaceae","NARCISSUS munozii-garmendiae"
2535,"Amaryllidaceae","NARCISSUS nevadensis"
2536,"Amaryllidaceae","NARCISSUS nivalis"
2537,"Amaryllidaceae","NARCISSUS obesus"
2539,"Amaryllidaceae","NARCISSUS obesus 'Lee Martin'"
2538,"Amaryllidaceae","NARCISSUS obesus MS451"
2540,"Amaryllidaceae","NARCISSUS obsoletus"
2541,"Amaryllidaceae","NARCISSUS pallidiflorus"
2542,"Amaryllidaceae","NARCISSUS perez-chiscanoi F&JK0611"
2543,"Amaryllidaceae","NARCISSUS poeticus"
2544,"Amaryllidaceae","NARCISSUS primigenius"
2545,"Amaryllidaceae","NARCISSUS pseudonarcissus"
2547,"Amaryllidaceae","NARCISSUS romieuxii"
2549,"Amaryllidaceae","NARCISSUS romieuxii 'Julia Jane'"
2548,"Amaryllidaceae","NARCISSUS romieuxii FS126-1"
2550,"Amaryllidaceae","NARCISSUS romieuxii subsp. albidus var.  zaianicus"
2551,"Amaryllidaceae","NARCISSUS rupicola"
2553,"Amaryllidaceae","NARCISSUS rupicola subsp. watieri"
2552,"Amaryllidaceae","NARCISSUS rupicola subsp. watieri"
2554,"Amaryllidaceae","NARCISSUS rupicola subsp. watieri 'Abaleish'"
2555,"Amaryllidaceae","NARCISSUS scaberulus"
2556,"Amaryllidaceae","NARCISSUS serotinus"
2557,"Amaryllidaceae","NARCISSUS triandrus"
2558,"Amaryllidaceae","NARCISSUS triandrus subsp. triandrus"
2559,"Amaryllidaceae","NARCISSUS triandrus subsp. triandrus var. loiseleurii"
2560,"Amaryllidaceae","NARCISSUS viridiflorus"
2546,"Amaryllidaceae","NARCISSUS x romanensis"
5241,"Nartheciaceae","NARTHECIUM californicum"
2562,"Iridaceae","NEMASTYLIS acuta"
2569,"Amaryllidaceae","NERINE bowdenii"
2570,"Amaryllidaceae","NERINE hirsuta of hort."
2580,"Liliaceae","NOMOCHARIS aperta"
2581,"Liliaceae","NOMOCHARIS farreri"
2577,"Liliaceae","NOMOCHARIS hybs."
2582,"Liliaceae","NOMOCHARIS saluenensis"
2578,"Liliaceae","NOMOCHARIS sp."
2579,"Liliaceae","NOMOCHARIS spp. mixed"
2584,"Liliaceae","NOTHOLIRION bulbuliferum"
2585,"Liliaceae","NOTHOLIRION campanulatum"
2586,"Liliaceae","NOTHOLIRION macrophyllum"
2587,"Amaryllidaceae","NOTHOSCORDUM bivalve"
2588,"Amaryllidaceae","NOTHOSCORDUM montevidense subsp. minarum"
2589,"Amaryllidaceae","NOTHOSCORDUM ostenii"
5244,"Tecophilaeaceae","ODONTOSTOMUM hartwegii"
5246,"Iridaceae","OLSYNIUM douglasii"
2601,"Iridaceae","OLSYNIUM junceum"
2610,"Orchidaceae","ORCHIS militaris f. alba"
2611,"Asphodelaceae","ORNITHOGALUM albucoides"
2612,"Asphodelaceae","ORNITHOGALUM baeticum (algeriense F&JK)"
2613,"Asphodelaceae","ORNITHOGALUM candicans"
2614,"Asphodelaceae","ORNITHOGALUM dubium yellow"
2615,"Asphodelaceae","ORNITHOGALUM fimbrimarginatum"
2616,"Asphodelaceae","ORNITHOGALUM magnum"
2617,"Asphodelaceae","ORNITHOGALUM nutans"
2618,"Asphodelaceae","ORNITHOGALUM princeps"
2619,"Asphodelaceae","ORNITHOGALUM pyrenaicum"
2620,"Asphodelaceae","ORNITHOGALUM pyrenaicum 'Flavescens Group'"
2621,"Asphodelaceae","ORNITHOGALUM regale"
2622,"Asphodelaceae","ORNITHOGALUM viridiflorum"
2624,"Iridaceae","ORTHROSANTHUS chimboracensis"
2629,"Oxalidaceae","OXALIS sp. CMW4199"
2630,"Oxalidaceae","OXALIS valdiviensis"
2644,"Paeoniaceae","PAEONIA 'Pink Vanguard'"
2645,"Paeoniaceae","PAEONIA anomala"
2646,"Paeoniaceae","PAEONIA anomala ex Altai"
2647,"Paeoniaceae","PAEONIA broteri"
2648,"Paeoniaceae","PAEONIA cambessedesii"
2649,"Paeoniaceae","PAEONIA cambessedesii dwarf"
2650,"Paeoniaceae","PAEONIA caucasica"
2652,"Paeoniaceae","PAEONIA corsica"
2653,"Paeoniaceae","PAEONIA daurica subsp. macrophylla (steveniana)"
2654,"Paeoniaceae","PAEONIA delavayi"
2655,"Paeoniaceae","PAEONIA delavayi dark red"
2656,"Paeoniaceae","PAEONIA delavayi light red"
2657,"Paeoniaceae","PAEONIA delavayi red"
2658,"Paeoniaceae","PAEONIA delavayi subsp. lutea"
2659,"Paeoniaceae","PAEONIA delavayi subsp. lutea f. compacta red leaf"
2660,"Paeoniaceae","PAEONIA emodi"
2661,"Paeoniaceae","PAEONIA emodi hybrid"
2662,"Paeoniaceae","PAEONIA flavescens"
2641,"Paeoniaceae","PAEONIA hyb. quadruple hybrids"
2663,"Paeoniaceae","PAEONIA japonica"
2664,"Paeoniaceae","PAEONIA kavachensis"
2665,"Paeoniaceae","PAEONIA lactiflora"
2666,"Paeoniaceae","PAEONIA lactiflora ex Gansu"
2667,"Paeoniaceae","PAEONIA lactiflora hybrids"
2668,"Paeoniaceae","PAEONIA ludlowii"
2669,"Paeoniaceae","PAEONIA mascula"
2670,"Paeoniaceae","PAEONIA mascula subsp. hellenica"
2671,"Paeoniaceae","PAEONIA mascula subsp. mascula"
2672,"Paeoniaceae","PAEONIA mascula subsp. russoi"
2673,"Paeoniaceae","PAEONIA mascula subsp. triternata"
2674,"Paeoniaceae","PAEONIA mlokosewitschii"
2678,"Paeoniaceae","PAEONIA mlokosewitschii 'Ystad'"
2675,"Paeoniaceae","PAEONIA mlokosewitschii hyb white, red centre"
2676,"Paeoniaceae","PAEONIA mlokosewitschii hyb yellow fades to pink"
2677,"Paeoniaceae","PAEONIA mlokosewitschii hybrid"
2679,"Paeoniaceae","PAEONIA mollis"
2680,"Paeoniaceae","PAEONIA morisii Persson92-1 ex Sardinia"
2681,"Paeoniaceae","PAEONIA obovata"
2682,"Paeoniaceae","PAEONIA obovata f. alba"
2683,"Paeoniaceae","PAEONIA officinalis"
2684,"Paeoniaceae","PAEONIA officinalis ex L Garda"
2685,"Paeoniaceae","PAEONIA officinalis ex Monte Baldo"
2686,"Paeoniaceae","PAEONIA officinalis subsp. humilis"
2687,"Paeoniaceae","PAEONIA officinalis subsp. microcarpa"
2688,"Paeoniaceae","PAEONIA ostii"
2689,"Paeoniaceae","PAEONIA peregrina 'Otto Froebel'"
2690,"Paeoniaceae","PAEONIA rockii"
2691,"Paeoniaceae","PAEONIA rockii JJA4.581.500"
2692,"Paeoniaceae","PAEONIA rockii rich pink"
2693,"Paeoniaceae","PAEONIA rockii white"
5251,"Paeoniaceae","PAEONIA sp. ex Etna"
2642,"Paeoniaceae","PAEONIA sp. herb. red single 30-40cm"
2643,"Paeoniaceae","PAEONIA sp. tree"
2694,"Paeoniaceae","PAEONIA suffruticosa pink"
2695,"Paeoniaceae","PAEONIA suffruticosa red"
2696,"Paeoniaceae","PAEONIA suffruticosa single mauve"
2697,"Paeoniaceae","PAEONIA suffruticosa single white"
2698,"Paeoniaceae","PAEONIA tenuifolia"
2699,"Paeoniaceae","PAEONIA turcica"
2700,"Paeoniaceae","PAEONIA veitchii"
2701,"Paeoniaceae","PAEONIA veitchii subsp. woodwardii"
2702,"Paeoniaceae","PAEONIA wittmanniana"
2651,"Paeoniaceae","PAEONIA x chamaeleon (mlok x cauc)"
2703,"Amaryllidaceae","PANCRATIUM maritimum"
2739,"Asphodelaceae","PARADISEA liliastrum"
2740,"Asphodelaceae","PARADISEA lusitanica"
2749,"Melanthiaceae","PARIS delavayi"
2750,"Melanthiaceae","PARIS japonica"
2751,"Melanthiaceae","PARIS quadrifolia"
2755,"Asphodelaceae","PASITHEA caerulea"
2761,"Geraniaceae","PELARGONIUM barklyi"
2762,"Geraniaceae","PELARGONIUM capitatum"
2763,"Geraniaceae","PELARGONIUM elongatum"
2764,"Geraniaceae","PELARGONIUM endlicherianum"
2765,"Geraniaceae","PELARGONIUM endlicherianum KKPS9316"
2766,"Geraniaceae","PELARGONIUM grossularioides"
2767,"Geraniaceae","PELARGONIUM mollicomum"
2760,"Geraniaceae","PELARGONIUM sp."
2768,"Geraniaceae","PELARGONIUM tetragonum"
2769,"Geraniaceae","PELARGONIUM worcesterae"
2822,"Boraginaceae","PHACELIA bolanderi"
2823,"Boraginaceae","PHACELIA tanacetifolia"
2857,"Araceae","PINELLIA cordata"
2858,"Araceae","PINELLIA pedatisecta"
2859,"Araceae","PINELLIA tripartita"
2869,"Campanulaceae","PLATYCODON grandiflorus"
2872,"Campanulaceae","PLATYCODON grandiflorus 'Hime-murasaki'"
2870,"Campanulaceae","PLATYCODON grandiflorus blue semi-double"
2871,"Campanulaceae","PLATYCODON grandiflorus pink"
2874,"Orchidaceae","PLEIONE  'Fuego' grex "
2875,"Orchidaceae","PLEIONE  'Jorullo' grex "
2876,"Orchidaceae","PLEIONE 'Tongariro' grex"
2877,"Orchidaceae","PLEIONE formosana"
2878,"Orchidaceae","PLEIONE grandiflora hybrids"
2873,"Orchidaceae","PLEIONE spp. mixed"
2890,"Asphodelaceae","POLYGONATUM prattii"
2891,"Asphodelaceae","POLYGONATUM pubescens Gilty Pleasure"
2892,"Asphodelaceae","POLYGONATUM sewerzowii"
2893,"Asphodelaceae","POLYGONATUM stewartianum"
2894,"Asphodelaceae","POLYGONATUM verticillatum 'Himalayan Giant'"
2895,"Asphodelaceae","POLYGONATUM zanlanscianense"
2923,"Primulaceae","PRIMULA  Candelabra hybrid orange "
2924,"Primulaceae","PRIMULA  Candelabra hybrids"
2925,"Primulaceae","PRIMULA  Harlow Car hybrids"
2926,"Primulaceae","PRIMULA algida"
2927,"Primulaceae","PRIMULA alpicola"
2928,"Primulaceae","PRIMULA alpicola f. alba"
2929,"Primulaceae","PRIMULA alpicola f. violacea"
2930,"Primulaceae","PRIMULA alpicola subsp. luna"
2931,"Primulaceae","PRIMULA aurantiaca"
2932,"Primulaceae","PRIMULA aurantiaca pink hybrid"
2933,"Primulaceae","PRIMULA auricula"
2934,"Primulaceae","PRIMULA auricula ex wild"
2935,"Primulaceae","PRIMULA auricula hybrids "
2936,"Primulaceae","PRIMULA auricula show & border mixed"
2937,"Primulaceae","PRIMULA auricula violet, silver farina"
2938,"Primulaceae","PRIMULA beesiana"
2939,"Primulaceae","PRIMULA beesiana deep lilac"
2940,"Primulaceae","PRIMULA blinii cf."
2941,"Primulaceae","PRIMULA bullata subsp. bracteata"
2942,"Primulaceae","PRIMULA bullata subsp. delavayi SDR7830"
2943,"Primulaceae","PRIMULA bullata subsp. forrestii"
2945,"Primulaceae","PRIMULA bulleyana"
2946,"Primulaceae","PRIMULA bulleyana hybrids"
2947,"Primulaceae","PRIMULA burmanica"
2948,"Primulaceae","PRIMULA capitata"
2949,"Primulaceae","PRIMULA capitata CC3843"
2950,"Primulaceae","PRIMULA capitata subsp. mooreana"
2951,"Primulaceae","PRIMULA chionantha"
2952,"Primulaceae","PRIMULA chionantha subsp. chionantha"
2953,"Primulaceae","PRIMULA chionantha subsp. sinopurpurea"
2954,"Primulaceae","PRIMULA chungensis"
2955,"Primulaceae","PRIMULA daonensis"
2956,"Primulaceae","PRIMULA denticulata f. alba"
2957,"Primulaceae","PRIMULA elatior"
2958,"Primulaceae","PRIMULA farinosa"
2959,"Primulaceae","PRIMULA florindae"
2960,"Primulaceae","PRIMULA florindae orange"
2961,"Primulaceae","PRIMULA florindae red"
2962,"Primulaceae","PRIMULA florindae yellow"
2963,"Primulaceae","PRIMULA frondosa"
2964,"Primulaceae","PRIMULA halleri"
2965,"Primulaceae","PRIMULA helodoxa"
2966,"Primulaceae","PRIMULA henrici"
2967,"Primulaceae","PRIMULA henrici ACE1671 rose/deep pink"
2968,"Primulaceae","PRIMULA henrici Holubec 2002 white"
2969,"Primulaceae","PRIMULA henrici PBC0305 white/pink"
2970,"Primulaceae","PRIMULA heucherifolia"
2971,"Primulaceae","PRIMULA hirsuta"
2972,"Primulaceae","PRIMULA incana"
2973,"Primulaceae","PRIMULA ioessa"
2974,"Primulaceae","PRIMULA japonica"
2976,"Primulaceae","PRIMULA japonica 'Apple Blossom'"
2977,"Primulaceae","PRIMULA japonica 'Miller's Crimson'"
2978,"Primulaceae","PRIMULA japonica 'Postford White'"
2979,"Primulaceae","PRIMULA japonica f. alba"
2975,"Primulaceae","PRIMULA japonica red"
2980,"Primulaceae","PRIMULA kisoana"
2981,"Primulaceae","PRIMULA latifolia"
2982,"Primulaceae","PRIMULA magellanica"
2983,"Primulaceae","PRIMULA marginata"
2984,"Primulaceae","PRIMULA marginata 'Caerulea'"
2985,"Primulaceae","PRIMULA marginata 'Laciniata'"
2986,"Primulaceae","PRIMULA marginata f. Alba"
2987,"Primulaceae","PRIMULA matthioli"
2988,"Primulaceae","PRIMULA matthioli f. alba"
2989,"Primulaceae","PRIMULA matthioli subsp. sakhalinensis"
2990,"Primulaceae","PRIMULA maximowiczii"
2991,"Primulaceae","PRIMULA mollis"
2992,"Primulaceae","PRIMULA munroi subsp. munroi"
2993,"Primulaceae","PRIMULA parryi"
2994,"Primulaceae","PRIMULA poissonii"
2995,"Primulaceae","PRIMULA polyneura"
2996,"Primulaceae","PRIMULA prolifera"
2997,"Primulaceae","PRIMULA pulchella"
2998,"Primulaceae","PRIMULA pulverulenta"
2999,"Primulaceae","PRIMULA pulverulenta 'Bartley hybrids'"
3000,"Primulaceae","PRIMULA renifolia"
3001,"Primulaceae","PRIMULA rosea"
3002,"Primulaceae","PRIMULA rusbyi"
3003,"Primulaceae","PRIMULA rusbyi subsp. ellisiae"
3004,"Primulaceae","PRIMULA scandinavica"
3005,"Primulaceae","PRIMULA scotica"
3006,"Primulaceae","PRIMULA secundiflora"
3007,"Primulaceae","PRIMULA serratifolia"
3008,"Primulaceae","PRIMULA sieboldii"
3009,"Primulaceae","PRIMULA sieboldii 'Dancing Ladies'"
3010,"Primulaceae","PRIMULA sikkimensis"
3011,"Primulaceae","PRIMULA sikkimensis claret hyb 25cm"
3012,"Primulaceae","PRIMULA simensis"
3013,"Primulaceae","PRIMULA smithiana"
3014,"Primulaceae","PRIMULA stenocalyx"
3015,"Primulaceae","PRIMULA stenodonta"
3016,"Primulaceae","PRIMULA veris"
3017,"Primulaceae","PRIMULA veris 'Hose-in-Hose'"
3018,"Primulaceae","PRIMULA vialii"
3019,"Primulaceae","PRIMULA vulgaris"
3020,"Primulaceae","PRIMULA waltonii"
3021,"Primulaceae","PRIMULA waltonii hybrids"
3022,"Primulaceae","PRIMULA waltonii yellow"
3023,"Primulaceae","PRIMULA wilsonii"
3024,"Primulaceae","PRIMULA wilsonii dark"
3025,"Primulaceae","PRIMULA wilsonii subsp. anisodora"
2944,"Primulaceae","PRIMULA x bulleesiana"
3026,"Primulaceae","PRIMULA zambalensis"
3028,"Liliaceae","PROSARTES hookeri"
3029,"Liliaceae","PROSARTES smithii"
3030,"Asphodelaceae","PROSPERO autumnale"
5287,"Rosaceae","PRUNUS ilicifolia"
3032,"Rosaceae","PRUNUS prostrata"
3034,"Asphodelaceae","PSEUDOMUSCARI azureum"
3035,"Asphodelaceae","PSEUDOMUSCARI chalusicum"
3036,"Asphodelaceae","PSEUDOMUSCARI coeleste"
3037,"Asphodelaceae","PSEUDOMUSCARI pallens"
3107,"Asphodelaceae","PUSCHKINIA scilloides subsp. libanotica"
3119,"Ranunculaceae","RANUNCULUS acris 'Sulphureus'"
3120,"Ranunculaceae","RANUNCULUS alpestris"
3121,"Ranunculaceae","RANUNCULUS amplexicaulis"
3122,"Ranunculaceae","RANUNCULUS calandrinioides"
3123,"Ranunculaceae","RANUNCULUS cortusifolius"
3124,"Ranunculaceae","RANUNCULUS gramineus"
3125,"Ranunculaceae","RANUNCULUS multiscapus"
3126,"Ranunculaceae","RANUNCULUS nivicola"
3127,"Ranunculaceae","RANUNCULUS parnassifolius"
5291,"Ranunculaceae","RANUNCULUS piliferus"
3167,"Hypericaceae","RHODOHYPOXIS baurii"
3168,"Hypericaceae","RHODOHYPOXIS baurii mixed"
3169,"Amaryllidaceae","RHODOPHIALA advena"
