Number	Family Name	Name	Garden/Wild	Live material
1230	Papaveraceae	DICRANOSTIGMA lactucoides	Garden	
1231	Papaveraceae	DICRANOSTIGMA platycarpum	Garden	
1232	Rutaceae	DICTAMNUS albus	Garden	
1233	Rutaceae	DICTAMNUS albus f. albiflorus 	Garden	
1234	Rutaceae	DICTAMNUS albus f. purpureus	Garden	
1235	Plumbaginaceae	DICTYOLIMON macrorrhabdos	Garden	
1236	Iridaceae	DIERAMA hybs. mixed	Garden	
1237	Iridaceae	DIERAMA spp. mixed	Garden	
1238	Iridaceae	DIERAMA 'Barr's Hybrid'	Garden	
1239	Iridaceae	DIERAMA 'Blackberry Bells'	Garden	
1240	Iridaceae	DIERAMA 'Spring Dancer'	Garden	
1241	Iridaceae	DIERAMA Wildside hybrids	Garden	
1242	Iridaceae	DIERAMA dracomontanum	Garden	
1243	Iridaceae	DIERAMA erectum 'Autumn Sparkler'	Garden	
1244	Iridaceae	DIERAMA igneum	Garden	
1245	Iridaceae	DIERAMA igneum apricot	Garden	
1246	Iridaceae	DIERAMA pauciflorum	Garden	
1247	Iridaceae	DIERAMA pendulum	Garden	
1248	Iridaceae	DIERAMA pulcherrimum	Garden	
1249	Iridaceae	DIERAMA pulcherrimum aff.	Garden	
1250	Iridaceae	DIERAMA pulcherrimum dark form	Garden	
1251	Iridaceae	DIERAMA pulcherrimum dwarf form 60cm	Garden	
1252	Iridaceae	DIERAMA pulcherrimum mauve	Garden	
1253	Iridaceae	DIERAMA pulcherrimum 'Blackbird'	Garden	
1254	Iridaceae	DIERAMA pulcherrimum 'Mull of Galloway'	Garden	
1255	Iridaceae	DIERAMA pulcherrimum 'Slieve Donard hybrids'	Garden	
1256	Iridaceae	DIERAMA pulcherrimum 'Snowbells'	Garden	
1257	Iridaceae	DIERAMA reynoldsii	Garden	
1258	Iridaceae	DIERAMA robustum	Garden	
1259	Iridaceae	DIERAMA trichorhizum	Garden	
1260	Plantaginaceae	DIGITALIS ciliata	Garden	
1261	Plantaginaceae	DIGITALIS davisiana	Garden	
1262	Plantaginaceae	DIGITALIS ferruginea	Garden	
1263	Plantaginaceae	DIGITALIS ferruginea 'Gigantea'	Garden	
1264	Plantaginaceae	DIGITALIS ferruginea subsp. ferruginea "Stewartii"	Garden	
1265	Plantaginaceae	DIGITALIS fontanesii	Garden	
1266	Plantaginaceae	DIGITALIS grandiflora	Garden	
1267	Plantaginaceae	DIGITALIS laevigata	Garden	
1268	Plantaginaceae	DIGITALIS lanata 'Cafe Creme'	Garden	
1269	Plantaginaceae	DIGITALIS leucophaea	Garden	
1270	Plantaginaceae	DIGITALIS lutea	Garden	
1271	Plantaginaceae	DIGITALIS x mertonensis	Garden	
1272	Plantaginaceae	DIGITALIS micrantha	Garden	
1273	Plantaginaceae	DIGITALIS parviflora	Garden	
1274	Plantaginaceae	DIGITALIS parviflora 'Milk Chocolate'	Garden	
1275	Plantaginaceae	DIGITALIS purpurea	Garden	
1276	Plantaginaceae	DIGITALIS purpurea 'Dalmatian Purple'	Garden	
1277	Plantaginaceae	DIGITALIS purpurea 'Pam's Choice'	Garden	
1278	Plantaginaceae	DIGITALIS purpurea f. albiflora	Garden	
1279	Plantaginaceae	DIGITALIS trojana	Garden	
1280	Ericaceae	DIMORPHANTHERA alpina	Garden	
1281	Asphodelaceae	DIPCADI serotinum	Garden	
1282	Berberidaceae	DIPHYLLEIA cymosa	Garden	
1283	Iridaceae	DIPLARRENA latifolia	Garden	
1284	Iridaceae	DIPLARRENA moraea	Garden	
1285	Caprifoliaceae	DIPSACUS ferox	Garden	
1286	Caprifoliaceae	DIPSACUS fullonum	Garden	
1287	Caprifoliaceae	DIPSACUS japonicus	Garden	
1288	Caprifoliaceae	DIPSACUS laciniatus	Garden	
1289	Primulaceae	DODECATHEON 'Stellar Pink'	Garden	
1290	Primulaceae	DODECATHEON alpinum	Garden	
1291	Primulaceae	DODECATHEON amethystinum	Garden	
1292	Primulaceae	DODECATHEON dentatum	Garden	
1293	Primulaceae	DODECATHEON hendersonii	Garden	
1294	Primulaceae	DODECATHEON jeffreyi	Garden	
1295	Primulaceae	DODECATHEON meadia	Garden	
1296	Primulaceae	DODECATHEON meadia 'Aphrodite'	Garden	
1297	Primulaceae	DODECATHEON pulchellum	Garden	
1298	Primulaceae	DODECATHEON pulchellum 'Red Wings'	Garden	
1299	Primulaceae	DODECATHEON pulchellum 'Sooke Variety'	Garden	
1300	Asteraceae	DORONICUM orientale 'Little Leo'	Garden	
1301	Asteraceae	DORONICUM orientale 'Magnificum'	Garden	
1302	Asteraceae	DORONICUM pardalianches	Garden	
1303	Fabaceae	DORYCNIUM rectum	Garden	
1304	Brassicaceae	DRABA sp. white 4cm	Garden	
1305	Brassicaceae	DRABA sp. yellow 30cm	Garden	
1306	Brassicaceae	DRABA acaulis	Garden	
1307	Brassicaceae	DRABA aizoides	Garden	
1308	Brassicaceae	DRABA antarctica	Garden	
1309	Brassicaceae	DRABA bruniifolia	Garden	
1310	Brassicaceae	DRABA bryoides subsp. imbricata	Garden	
1311	Brassicaceae	DRABA compacta	Garden	
1312	Brassicaceae	DRABA cretica	Garden	
1313	Brassicaceae	DRABA cusickii	Garden	
1314	Brassicaceae	DRABA dedeana	Garden	
1315	Brassicaceae	DRABA densifolia	Garden	
1316	Brassicaceae	DRABA glacialis	Garden	
1317	Brassicaceae	DRABA hispanica	Garden	
1318	Brassicaceae	DRABA incerta	Garden	
1319	Brassicaceae	DRABA kitadakensis	Garden	
1320	Brassicaceae	DRABA longisiliqua	Garden	
1321	Brassicaceae	DRABA magellanica	Garden	
1322	Brassicaceae	DRABA norvegica	Garden	
1323	Brassicaceae	DRABA novolympica	Garden	
1324	Brassicaceae	DRABA oligosperma	Garden	
1325	Brassicaceae	DRABA polytricha	Garden	
1326	Brassicaceae	DRABA rigida	Garden	
1327	Brassicaceae	DRABA rosularis	Garden	
1328	Brassicaceae	DRABA sphaeroides	Garden	
1329	Brassicaceae	DRABA stellata	Garden	
1330	Brassicaceae	DRABA ussuriensis	Garden	
1331	Brassicaceae	DRABA yunnanensis	Garden	
1332	Asphodelaceae	DRACAENA stamineum	Garden	
1333	Lamiaceae	DRACOCEPHALUM botryoides	Garden	
1334	Lamiaceae	DRACOCEPHALUM forrestii	Garden	
1335	Lamiaceae	DRACOCEPHALUM grandiflorum	Garden	
1336	Lamiaceae	DRACOCEPHALUM peregrinum	Garden	
1337	Lamiaceae	DRACOCEPHALUM rupestre	Garden	
1338	Lamiaceae	DRACOCEPHALUM ruyschiana	Garden	
1339	Lamiaceae	DRACOCEPHALUM stamineum	Garden	
1340	Araceae	DRACUNCULUS vulgaris	Garden	
1341	Apocynaceae	DREGEA sinensis	Garden	
1342	Asphodelaceae	DRIMIA uniflora	Garden	
1343	Droseraceae	DROSERA binata subsp. binata	Garden	
1344	Rosaceae	DRYAS sp. ex Altai	Garden	
1345	Rosaceae	DRYAS drummondii	Garden	
1346	Rosaceae	DRYAS octopetala	Garden	
1347	Rosaceae	DRYAS octopetala x drummondii "Flava"	Garden	
1348	Rosaceae	DRYAS x suendermannii	Garden	
1349	Rosaceae	DUCHESNEA indica	Garden	
1350	Bromeliaceae	DYCKIA fosteriana 'Silver Superstar'	Garden	
1351	Berberidaceae	DYSOSMA aurantiocaulis	Garden	
1352	Berberidaceae	DYSOSMA versipellis	Garden	
1353	cuc	ECBALLIUM elaterium	Garden	
1354	Bignoniaceae	ECCREMOCARPUS scaber orange	Garden	
1355	Bignoniaceae	ECCREMOCARPUS scaber red	Garden	
1356	Bignoniaceae	ECCREMOCARPUS scaber 'Tresco Cream'	Garden	
1357	Asteraceae	ECHINACEA 'Cheyenne Spirit'	Garden	
1358	Asteraceae	ECHINACEA pallida	Garden	
1359	Asteraceae	ECHINACEA purpurea	Garden	
1360	Asteraceae	ECHINACEA purpurea white	Garden	
1361	Asteraceae	ECHINACEA purpurea 'The King'	Garden	
1362	Asteraceae	ECHINOPS bannaticus	Garden	
1363	Asteraceae	ECHINOPS ritro	Garden	
1364	Cactaceae	ECHINOPSIS backebergii subsp. wrightiana	Garden	
1365	Boraginaceae	ECHIUM hyb. 1.5m pink/red	Garden	
1366	Boraginaceae	ECHIUM cantabricum	Garden	
1367	Boraginaceae	ECHIUM russicum	Garden	
1368	Boraginaceae	ECHIUM vulgare	Garden	
1369	Asteraceae	EDMONDIA pinifolia	Garden	
1370	Campanulaceae	EDRAIANTHUS dinaricus	Garden	
1371	Campanulaceae	EDRAIANTHUS horvatii	Garden	
1372	Campanulaceae	EDRAIANTHUS montenegrinus	Garden	
