Seed #,Genus/species,Description,Origin
263,Armeria caespitosa 'Red Faery',rose/red 7-12cm 89 95,G
264,Armeria filicaulis,pink/purple to 14cm 32,G
265,Armeria juniperifolia,pink 5-15cm 151,G
266,Armeria maritima,pink-white 2-30cm 31 147,G
267,Armeria maritima,red/white 2-30cm 71,G
268,Armeria maritima 'Dusseldorfer Stolz',deep pink 10-20cm 147,G
269,Armeria maritima 'Little Penny',dark rose-pink 3-10cm 89,G
270,Armeria maritima 'Rubrifolia',rose-pink flr/burgundy lvs 15-20cm >,G
271,Armeria maritima 'Victor Reiter',pink 5-10cm 54 107,G
272,Armeria pseudarmeria,pink 25-50cm 4 56,G
273,Arnoglossum atriplicifolium,white 1-3m 62,G
274,Arthropodium candidum 'Purpureum',white flr/purple-bronze lvs 10-30cm 175,G
275,Arum apulum,red-brown 20cm 65,G
276,Arum concinnatum,pale green/purple edge 20-45cm 65,G
277,Arum italicum,cream-light green flr/red frt 30-45cm 21 159 165,G
278,Arum sp,green w/red cast 30cm 65,G
279,Aruncus dioicus v aethusifolius,cream 15-30cm 6 54,G
280,Aruncus dioicus 'Zweiweltenkind',cream white to 75cm 156,G
281,Asarina procumbens,cream/yellow 5-7cm 6 76,G
282,Asarum caudatum v viridiflorum (moist packed),greenish-yellow flr 7-17cm 169,G
283,Asarum hartwegii (moist packed),reddish-brown 9-21cm 169,G
284,Asclepias angustifolia,white/pale purple 20-70cm 87,G
285,Asclepias incarnata,pink-mauve 1-1.5m >,G
286,Asclepias purpurascens,deep rose-purple to 1m 172,G
287,Asclepias tuberosa,orange 30-100cm >,G
288,Asimina triloba,maroon flr/large green frt to 11m 51,G
289,Asperula orientalis,pale-clear purplish blue to 30cm 153,G
290,Asphodeline damascena,white flr/blue-green lvs 45-170cm 114,G
291,Asphodeline liburnica,yellow 60-100cm 64 66,G
292,Asphodeline lutea,yellow 90-120cm 26 156,G
293,Asphodeline taurica,white 60-80cm 3,G
294,Asphodelus albus,white/pink-veined 50-120cm 3,G
295,Asplenium scolopendrium 'Peraferens',25cm 11,G
296,Aster ageratoides 'Ezo Murasaki',purple to 60cm 33,G
297,Aster alpinus,blue 15-30cm 160,G
298,Aster alpinus,lavender 15-30cm 36,G
299,Aster alpinus,lilac-purple 6-20cm 57,G
300,Aster alpinus,mix 15-30cm 96 146,G
301,Aster alpinus,purple 15-30cm 15 19,G
302,Aster alpinus,white 15-30cm 58,G
303,Aster himalaicus,blue-purple 8-25cm 52 156,G
304,Aster likiangensis,bluish-lavender purple 3-20cm 142,G
305,Aster souliei,blue-purple/violet 2-45cm 57,G
306,Aster stracheyi,violet-pale lilac 3-15cm 68,G
307,Astilbe chinensis v pumila (ex S Korea Chiri-san HC970423) ,light-mid pink 30cm 5,G
308,Astilbe sp,mixed colors 155,G
309,Astragalus acaulis,pale sulphur yellow to 15cm 119,G
310,Astragalus lutosus,white flr/silver-grey lvs 2-5cm 118,G
311,Astragalus sempervirens,pink 5-20cm 119,G
312,Astragalus utahensis,bright pink-purple flr/woolly lvs 5-10cm 100,G
313,Astrantia major,greenish-white/reddish 60-90cm 98,G
314,Asyneuma campanuloides,dark bluish-violet 30-50cm 57,G
315,Asyneuma limonifolium,blue 5-15cm 119,G
316,Asyneuma limonifolium,violet-blue 15-30cm 144,G
317,Athamanta turbith,white 30-50cm 100,G
318,Athyrium filix-femina 'Lady in Red',red stem 45-60cm 33,G
319,Aubrieta parviflora,white-pale lilac pink 5-10cm 77,G
320,Aubrieta scardica,purple to 10cm 77,G
321,"Aubrieta sp (ex Mt Ossa, Greece)",99,G
322,Azara microphylla,yellow fragrant flr 4-8m 11,G
323,Babiana angustifolia,blue 10-20cm 133,G
324,Babiana tubiflora,cream-white/purple-violet spots 7-15cm 99,G
325,Baptisia australis,blue-violet flr/blue-black frt to 1.5m 21 169 175,G
326,Baptisia australis v minor,purple-blue 30-60cm 167,G
327,Baptisia bracteata,cream-pale yellow 45-75cm 54 153,G
328,Baptisia lanceolata,yellow 30-60cm 54,G
329,Baptisia perfoliata,yellow flr/blue-grey lvs 60-90cm 117,G
330,Barbarea rupicola,yellow 5-40cm 175,G
331,Barnardia (Scilla) japonica,lavender/lilac 7-20cm 113 182,G
332,Beesia calthifolia,white 14-58cm 175,G
333,Beesia deltophylla,white 14-34cm 6,G
334,Begonia boliviensis,bright orange/red 30-45cm 64,G
335,Begonia grandis 'Heron's Pirouette',pink 30-60cm 169,G
336,Begonia grandis ssp sinensis,pink 20-40cm 3,G
337,Begonia henryi,pink to 25cm 170,G
338,Bellevalia paradoxa,blackish-blue 12-20cm 160,G
339,Berlandiera lyrata,yellow/red-maroon center 10-60cm 84 129,G
340,Beta trigyna,greenish-white to 100cm 156,G
341,Betonica nivea,white to 35cm 119,G
342,Betula lenta,to 20m 181,G
343,Betula utilis v jacquemontii,to 20m 5,G
344,Bletilla striata,violet 18-60cm 151,G
345,Bomarea salsilla,red to 2m 128,G
346,Brimeura amethystina,white 10-15cm 72,G
