"item","taxon","description","origin"
3072,"Calochortus splendens (cf)","dark lavender 16-20cm California: Inner North Coast Ranges, Lake Co 614m 175","W"
3073,"Calochortus superbus","white-pale purple/yellow halo 15-20cm California: C Sierra Nevada Foothills, Mariposa Co 854m 175","W"
366,"Calochortus uniflorus","pink 5-10cm 24","G"
367,"Calochortus venustus","mix 10-60cm 18","G"
373,"Camassia leichtlinii","blue-violet/cream 20-130cm 177","G"
374,"Camassia leichtlinii","dark blue-violet 20-130cm 85","G"
375,"Camassia leichtlinii ssp leichtlinii","creamy white 20-130cm 3","G"
376,"Camassia quamash","blue-violet 20-80cm 77","G"
3078,"Camassia quamash","blue 25cm Canada: Victoria, BC 187","W"
377,"Camassia scilloides","light blue/whitish 19-47cm 179","G"
410,"Cardiocrinum cordatum","greenish white 70-200cm 54 113","G"
411,"Cardiocrinum giganteum","white/streaked purple 1-3m 181 175","G"
412,"Cardiocrinum giganteum v yunnanense","white/purple-red streak 1-3m 149","G"
3094,"Chlorogalum pomeridianum v pomeridianum","white 75-100cm California: Inner North Coast Ranges, Lake Co 614m 175","W"
437,"Chlorophytum saundersiae","white 40cm 172","G"
492,"Colchicum cupanii","rose-lilac 6-10cm 72","G"
493,"Colchicum luteum ""Vahsh'","yellow-orange 10-30cm 35","G"
494,"Colchicum sp mixed (autumn-blooming)","lilac/pink/white 15-30cm 169","G"
504,"Corydalis erdelii","pale pink-reddish purple 5-12cm 35","G"
505,"Corydalis nobilis","cream-yellow/dark tip 30-50cm 142 158","G"
506,"Corydalis oppositifolia","white-pink turns maroon 5-12cm 35","G"
507,"Corydalis solida (moist packed)","mix 10-25cm 169","G"
529,"Crocus 'Negro Boy'","dark purple 15cm 41","G"
522,"Crocus caspius","white/lilac 10cm 72","G"
523,"Crocus fleischeri 'Gulek Pass'","white/deep yellow throat 5-9cm 35","G"
524,"Crocus goulimyi ssp leucanthus","white-very pale lilac 10cm 73","G"
525,"Crocus hadriaticus","white/yellow throat 10cm 35","G"
526,"Crocus hadriaticus 'Celia'","very pale lilac/violet-purple throat 10cm 35","G"
527,"Crocus hadriaticus 'Purple Heart'","white/deep purple throat 10cm 35","G"
528,"Crocus kotschyanus","lilac 10cm 64","G"
530,"Crocus oreocreticus","lilac/silver 12-15cm 35","G"
531,"Crocus pulchellus 'Zephyr'","greyish lilac 10cm 35","G"
532,"Crocus speciosus 'Artabir'","pale violet-blue/purple veins 12cm 35","G"
533,"Crocus sublimis","pale lilac-blue 7-10cm 63","G"
534,"Crocus tommasinianus","pale lilac-deep purple to 10cm 122","G"
537,"Cyclamen cilicium (good leaf pattern)"," 25","G"
538,"Cyclamen coum","mix 10cm 74","G"
539,"Cyclamen graecum","pink 6-16cm >","G"
540,"Cyclamen graecum 'Windmill'"," 73","G"
541,"Cyclamen hederifolium","mix 8-20cm 25 41 159","G"
542,"Cyclamen hederifolium","white 8-20cm 41 83","G"
543,"Cyclamen hederifolium 'Artemis'","white flr/double grey shield lvs 8-20cm 72","G"
544,"Cyclamen hederifolium 'Extreme'"," 83","G"
545,"Cyclamen hederifolium 'Silver Arrow'","pink 15cm 165","G"
546,"Cyclamen hederifolium Silver Leaf Group","mix 8-20cm 37","G"
547,"Cyclamen mirabile","pale-deep pink 5-13cm 41","G"
548,"Cyclamen persicum (ex CSE)"," 72","G"
549,"Cyclamen persicum (ex wild form)","pink 10cm 74","G"
550,"Cyclamen purpurascens","rose-pink/purple 4-18cm 68 72","G"
551,"Cyclamen repandum ssp peloponnesiacum","pink 10-20cm 63","G"
552,"Cyclamen repandum ssp rhodense","white/pale pink to 10cm 161","G"
553,"Cypella herbertii","golden yellow 30-50cm 170","G"
556,"Cyrtanthus epiphyticus","reddish-orange 25-40cm 114","G"
578,"Daubenya aurea","mixed to 5cm 34","G"
584,"Delphinium beesianum","blue/blue-purple 8-28cm 120","G"
585,"Delphinium elatum","blue 40-200cm 15","G"
586,"Delphinium elatum","purple 40-200cm 15","G"
587,"Delphinium exaltatum","pale lavender/purple 70-200cm 56 90 146","G"
588,"Delphinium exaltatum (moist packed)","pale lavender/purple 70-200cm 138","G"
3114,"Delphinium glaucum","purple 150cm Oregon: Mt Ashland 2073m 127","W"
589,"Delphinium grandiflorum 'Blauer Zwerg'","deep blue 30-40cm 9","G"
590,"Delphinium grandiflorum 'Blue Butterfly'","deep blue 40cm 33","G"
591,"Delphinium likiangense","blue 10-50cm 154","G"
592,"Delphinium pylzowii","blue-purple/bluish-grey 20-55cm 156","G"
593,"Delphinium requienii","blue-grey to 120cm 121","G"
594,"Delphinium sp (ex Iran - summer dormant)","pale pink 30cm 57","G"
595,"Delphinium speciosum","dark blue 10-60cm 57","G"
596,"Delphinium tatsienense","purple-blue 30-80cm 15","G"
3116,"Dichelostemma congestum","blue-purple 40-50cm California: Inner North Coast Ranges, Lake Co 506m 175","W"
3117,"Dichelostemma multiflorum","pale violet 30-40cm California: N Sierra Nevada Foothills, Butte Co 678m 175","W"
3118,"Dichelostemma volubile","rose-pink 0.5-1m twining California: C Sierra Nevada Foothills, Mariposa Co 831m 175","W"
644,"Dierama igneum","pink-deep mauve to 90cm 128","G"
645,"Dierama pulcherrimum","rosy-purple 90-150cm 11","G"
646,"Dierama reynoldsii","deep magenta-purple flr/silver bract 1-2m 64","G"
647,"Dierama reynoldsii x floriferum"," 177","G"
648,"Dierama sp mixed","pink to 90cm 41","G"
649,"Dierama trichorhizum","mauve-pink to 60cm 45","G"
671,"Dipcadi serotinum","brown-pink/green-yellow 20-40cm 63","G"
707,"Drimia haworthioides","green/white-purple 20-40cm 111","G"
720,"Echeandia texensis 'Loma del Potrero Cerdado'","yellow 90-150cm 170","G"
751,"Ennealophus euryandrus","blue-lavender 25-45cm 81","G"
3156,"Erythronium citrinum v citrinum","creamy-white 10-15cm Oregon: Siskiyou Mtns, Josephine Co 2060m 175","W"
3157,"Erythronium grandiflorum","yellow 25cm Canada: Cascades, BC 64","W"
3158,"Erythronium grandiflorum","yellow 20cm Oregon: Dutchman Peak 2073m 127","W"
3159,"Erythronium grandiflorum ssp grandiflorum","yellow 20-30cm Washington: Wenatchee Mtns, Kittitas Co 1768m 175","W"
3160,"Erythronium montanum","white 20cm Oregon: Mt Hood 104","W"
3161,"Erythronium multiscapideum","white 10-15cm California: N Sierra Nevada Foothills, Butte Co 701m 175","W"
815,"Erythronium oregonum","cream/yellow base/mottled lvs 15-40cm 77","G"
3162,"Erythronium oregonum ssp leucandrum","pale cream 10-15cm Oregon: Klamath Mtns, Douglas Co ultramafic substrate 175","W"
816,"Erythronium revolutum","violet-pink 15-40cm 41 77","G"
3163,"Erythronium revolutum","pink 10cm Canada: Vancouver Island, BC 187","W"
817,"Erythronium revolutum (ex Saddle Mtn, OR coast range)","pink 85","G"
820,"Eucomis autumnalis","greenish-white to 60cm 81","G"
838,"Freesia alba","white/purple-yellow flush 12-40cm 10","G"
839,"Freesia grandiflora","red to 60cm 10 20","G"
840,"Freesia laxa","pink-cerise 20-35cm 6","G"
841,"Freesia laxa","red 20-35cm 11 114","G"
842,"Freesia laxa","white/red eye 20-35cm 175","G"
843,"Freesia laxa 'Joan Evans'","white/red eye to 30cm 11","G"
844,"Freesia leichtlinii","cream 8-20cm 10","G"
845,"Fritillaria acmopetala","yellowish green-purplish brown 30-70cm 12 41","G"
3170,"Fritillaria affinis","brown/yellow 45cm Canada: Ruxton Island, BC 187","W"
3171,"Fritillaria affinis","darker forms 15-25cm California: Inner North Coast Ranges, Lake Co 460m 175","W"
3172,"Fritillaria affinis","green-yellow/fine red-brown mottling 30-50cm California: Inner North Coast Ranges, Lake Co 1128m 175","W"
3173,"Fritillaria affinis","tan 25cm California: Ukiah 24","W"
846,"Fritillaria crassifolia","green-yellow/brown 3-10cm 83","G"
847,"Fritillaria eduardii","orange-red to 1m 97","G"
848,"Fritillaria imperialis","orange 40-100cm 114 160","G"
849,"Fritillaria imperialis 'Chopin' (Rascal Series)","reddish orange 60-70cm 179","G"
850,"Fritillaria kurdica","yellowish-green/brown-purple 3-10cm 18","G"
851,"Fritillaria meleagris","mix 15-40cm 19 82","G"
852,"Fritillaria meleagris","purple checkered 15-40cm 64 65","G"
853,"Fritillaria meleagris","white 15-40cm 30 169","G"
854,"Fritillaria meleagris (v unicolor alba)","pure white to 30cm 72","G"
855,"Fritillaria michailovskyi","brownish-purple/yellow 6-25cm 83","G"
856,"Fritillaria orientalis","reddish-brown checkered 15-40cm 3","G"
857,"Fritillaria pallidiflora","pale yellow 15-45cm >","G"
858,"Fritillaria persica","plum purple-grey green 30-90cm 169","G"
859,"Fritillaria pontica","pale green/maroon tinged 15-45cm >","G"
3174,"Fritillaria pudica","yellow 20cm Washington: N Cascades Hwy 64","W"
3175,"Fritillaria purdyi","translucent white/brown striations 5-10cm California: High North Coast Ranges, Glenn Co 2019m 175","W"
860,"Fritillaria pyrenaica","brownish-purple/yellow-greenish 15-40cm 73","G"
861,"Fritillaria raddeana","pale yellow 50-80cm 18 25","G"
3176,"Fritillaria recurva","red 50-75cm California: High North Coast Ranges, Glenn Co 1626m 175","W"
862,"Fritillaria rhodocanakis","purplish-brown/yellow 10-15cm 18","G"
863,"Fritillaria sewerzowii (ex Tian Shan, Kyrgyzstan)"," 83","G"
3177,"Fritillaria striata","white 20cm California: Tejon Ranch Conservancy, Kern Co 18","W"
864,"Fritillaria thunbergii","pale yellow/slightly tessellated 15-80cm 3 25 114","G"
865,"Fritillaria whittallii","green-brown 10-35cm 41","G"
868,"Galanthus 'Spindlestone Surprise'","white/yellow tip & ovary to 30cm 41","G"
875,"Gelasine elongata","bright blue-violet flr/grey-green lvs to 60cm 170","G"
876,"Gentiana acaulis","blue 2-8cm 107 154","G"
877,"Gentiana acaulis 'Undulatifolia'","blue flr/wavy-edged lvs 2-8cm 54 89","G"
