bx_id,date_open,n_items_all,n_items_seed,n_items_bulb
BX 402,2016-06-20,0,0,0
BX 403,2016-06-28,0,NULL,0
BX 403,2016-06-28,25,NULL,25
BX 403,2016-06-28,0,NULL,0
BX 404,2016-07-19,0,0,0
BX 404,2016-07-19,25,2,23
BX 404,2016-07-19,0,0,0
BX 405,2016-08-11,0,0,0
BX 405,2016-08-11,13,4,9
BX 405,2016-08-11,0,0,0
BX 406,2016-08-17,0,NULL,0
BX 406,2016-08-17,26,NULL,26
BX 406,2016-08-17,0,NULL,0
BX 407,2016-08-24,0,0,0
BX 407,2016-08-24,24,3,21
BX 407,2016-08-24,0,0,0
BX 408,2016-08-29,0,NULL,0
BX 408,2016-08-29,23,NULL,23
BX 408,2016-08-29,0,NULL,0
BX 409,2016-09-17,0,0,0
BX 409,2016-09-17,18,1,17
BX 409,2016-09-17,0,0,0
BX 410,2016-09-24,0,NULL,0
BX 410,2016-09-24,18,NULL,18
BX 410,2016-09-24,0,NULL,0
BX 411,2016-10-06,0,0,0
BX 411,2016-10-06,23,2,21
BX 411,2016-10-06,0,0,0
BX 412,2016-10-26,0,0,0
BX 412,2016-10-26,28,7,21
BX 412,2016-10-26,0,0,0
BX 413,2016-11-07,0,0,0
BX 413,2016-11-07,14,5,9
BX 413,2016-11-07,0,0,0
BX 414,2017-01-08,0,0,NULL
BX 414,2017-01-08,9,9,NULL
BX 414,2017-01-08,0,0,NULL
BX 415,2017-02-19,0,0,NULL
BX 415,2017-02-19,14,14,NULL
BX 415,2017-02-19,0,0,NULL
BX 416,2017-04-11,0,0,0
BX 416,2017-04-11,24,1,23
BX 416,2017-04-11,0,0,0
BX 417,2017-05-04,0,NULL,0
BX 417,2017-05-04,16,NULL,16
BX 417,2017-05-04,0,NULL,0
BX 418,2017-06-16,0,0,0
BX 418,2017-06-16,32,2,30
BX 418,2017-06-16,0,0,0
BX 419,2017-07-15,0,0,0
BX 419,2017-07-15,17,4,13
BX 419,2017-07-15,0,0,0
BX 420,2017-07-24,0,0,NULL
BX 420,2017-07-24,35,35,NULL
BX 420,2017-07-24,0,0,NULL
BX 421,2017-07-31,0,0,NULL
BX 421,2017-07-31,15,15,NULL
BX 421,2017-07-31,0,0,NULL
BX 422,2017-08-18,0,0,0
BX 422,2017-08-18,22,12,10
BX 422,2017-08-18,0,0,0
BX 423,2017-08-27,0,0,0
BX 423,2017-08-27,29,1,28
BX 423,2017-08-27,0,0,0
BX 424,2017-09-05,0,NULL,0
BX 424,2017-09-05,30,NULL,30
BX 424,2017-09-05,0,NULL,0
BX 425,2017-09-13,0,NULL,0
BX 425,2017-09-13,27,NULL,27
BX 425,2017-09-13,0,NULL,0
BX 426,2017-09-19,0,0,0
BX 426,2017-09-19,28,1,27
BX 426,2017-09-19,0,0,0
BX 427,2017-10-06,0,0,0
BX 427,2017-10-06,17,1,16
BX 427,2017-10-06,0,0,0
BX 428,2017-10-13,0,NULL,0
BX 428,2017-10-13,7,NULL,7
BX 428,2017-10-13,0,NULL,0
BX 429,2017-10-30,0,0,0
BX 429,2017-10-30,11,3,8
BX 429,2017-10-30,0,0,0
BX 430,2017-11-05,0,NULL,0
BX 430,2017-11-05,25,NULL,25
BX 430,2017-11-05,0,NULL,0
BX 431,2017-11-08,0,NULL,0
BX 431,2017-11-08,25,NULL,25
BX 431,2017-11-08,0,NULL,0
BX 432,2017-11-13,0,NULL,0
BX 432,2017-11-13,25,NULL,25
BX 432,2017-11-13,0,NULL,0
BX 433,2017-11-18,0,NULL,0
BX 433,2017-11-18,16,NULL,16
BX 433,2017-11-18,0,NULL,0
BX 434,2018-01-02,0,0,0
BX 434,2018-01-02,18,5,13
BX 434,2018-01-02,0,0,0
BX 435,2018-01-14,0,NULL,0
BX 435,2018-01-14,9,NULL,9
BX 435,2018-01-14,0,NULL,0
BX 436,2018-02-04,0,0,0
BX 436,2018-02-04,19,18,1
BX 436,2018-02-04,0,0,0
BX 437,2018-03-27,0,0,0
BX 437,2018-03-27,13,4,9
BX 437,2018-03-27,0,0,0
BX 438,2018-04-22,0,NULL,0
BX 438,2018-04-22,15,NULL,15
BX 438,2018-04-22,0,NULL,0
BX 439,2018-05-08,0,NULL,0
BX 439,2018-05-08,11,NULL,11
BX 439,2018-05-08,0,NULL,0
BX 440,2018-05-24,0,NULL,0
BX 440,2018-05-24,13,NULL,13
BX 440,2018-05-24,0,NULL,0
BX 441,2018-06-25,0,NULL,0
BX 441,2018-06-25,20,NULL,20
BX 441,2018-06-25,0,NULL,0
BX 442,2018-06-30,0,0,0
BX 442,2018-06-30,21,5,16
BX 442,2018-06-30,0,0,0
BX 443,2018-07-25,0,0,0
BX 443,2018-07-25,29,3,26
BX 443,2018-07-25,0,0,0
BX 444,2018-08-05,0,0,0
BX 444,2018-08-05,24,12,12
BX 444,2018-08-05,0,0,0
BX 445,2018-08-12,0,0,0
BX 445,2018-08-12,12,3,9
BX 445,2018-08-12,0,0,0
BX 446,2018-08-27,0,0,0
BX 446,2018-08-27,16,3,13
BX 446,2018-08-27,0,0,0
BX 447,2018-09-15,0,0,0
BX 447,2018-09-15,36,2,34
BX 447,2018-09-15,0,0,0
BX 448,2018-09-22,0,NULL,0
BX 448,2018-09-22,52,NULL,52
BX 448,2018-09-22,0,NULL,0
BX 449,2018-10-02,0,0,0
BX 449,2018-10-02,16,7,9
BX 449,2018-10-02,0,0,0
BX 450,2018-10-15,0,NULL,0
BX 450,2018-10-15,13,NULL,13
BX 450,2018-10-15,0,NULL,0
BX 451,2018-11-26,0,0,0
BX 451,2018-11-26,36,6,30
BX 451,2018-11-26,0,0,0
BX 452,2018-12-08,0,0,0
BX 452,2018-12-08,36,4,32
BX 452,2018-12-08,0,0,0
BX 453,2019-01-24,0,0,0
BX 453,2019-01-24,16,8,8
BX 453,2019-01-24,0,0,0
